starting_timestamp,prover,threads,memory_limit,bandwidth_limit,num_variables,run_time
2024-10-08 18:16:32,halo2,4,500M,,5,9033
2024-10-08 18:16:32,halo2,4,500M,,6,11369
2024-10-08 18:16:32,halo2,4,500M,,7,15068
2024-10-08 18:16:32,halo2,4,500M,,8,22403
2024-10-08 18:16:32,halo2,4,500M,,9,34113
2024-10-08 18:16:32,halo2,4,500M,,10,56388
2024-10-08 18:16:33,scribe,8,500M,,5,70747
2024-10-08 18:16:33,scribe,8,500M,,6,88072
2024-10-08 18:16:33,scribe,8,500M,,7,91779
2024-10-08 18:16:33,scribe,8,500M,,8,90882
2024-10-08 18:16:33,scribe,8,500M,,9,91644
2024-10-08 18:16:33,scribe,8,500M,,10,110024
2024-10-08 18:16:33,hp,8,500M,,5,7618
2024-10-08 18:16:33,hp,8,500M,,6,9186
2024-10-08 18:16:33,hp,8,500M,,7,11517
2024-10-08 18:16:33,hp,8,500M,,8,25186
2024-10-08 18:16:33,hp,8,500M,,9,33417
2024-10-08 18:16:33,hp,8,500M,,10,40591
2024-10-08 18:16:33,gemini,8,500M,,5,35184
2024-10-08 18:16:33,gemini,8,500M,,6,37503
2024-10-08 18:16:33,gemini,8,500M,,7,52304
2024-10-08 18:16:33,gemini,8,500M,,8,79717
2024-10-08 18:16:33,gemini,8,500M,,9,125644
2024-10-08 18:16:33,gemini,8,500M,,10,224323
2024-10-08 18:16:34,plonky2,8,500M,,2,5602
2024-10-08 18:16:34,plonky2,8,500M,,4,35423
2024-10-08 18:16:34,plonky2,8,500M,,7,21589
2024-10-08 18:16:34,plonky2,8,500M,,13,5285
2024-10-08 18:16:34,plonky2,8,500M,,26,7252
2024-10-08 18:16:34,plonky2,8,500M,,52,33953
2024-10-08 18:16:34,halo2,8,500M,,5,10529
2024-10-08 18:16:34,halo2,8,500M,,6,12734
2024-10-08 18:16:34,halo2,8,500M,,7,18576
2024-10-08 18:16:34,halo2,8,500M,,8,26206
2024-10-08 18:16:34,halo2,8,500M,,9,44387
2024-10-08 18:16:34,halo2,8,500M,,10,71137
2024-10-08 18:16:35,scribe,1,1G,,5,78226
2024-10-08 18:16:35,scribe,1,1G,,6,78992
2024-10-08 18:16:35,scribe,1,1G,,7,86415
2024-10-08 18:16:35,scribe,1,1G,,8,106568
2024-10-08 18:16:35,scribe,1,1G,,9,128685
2024-10-08 18:16:35,scribe,1,1G,,10,168662
2024-10-08 18:16:35,hp,1,1G,,5,17877
2024-10-08 18:16:35,hp,1,1G,,6,24633
2024-10-08 18:16:35,hp,1,1G,,7,33663
2024-10-08 18:16:35,hp,1,1G,,8,48655
2024-10-08 18:16:35,hp,1,1G,,9,73744
2024-10-08 18:16:35,hp,1,1G,,10,114751
2024-10-08 18:16:36,gemini,1,1G,,5,50211
2024-10-08 18:16:36,gemini,1,1G,,6,73476
2024-10-08 18:16:36,gemini,1,1G,,7,121200
2024-10-08 18:16:36,gemini,1,1G,,8,200087
2024-10-08 18:16:36,gemini,1,1G,,9,338063
2024-10-08 18:16:36,gemini,1,1G,,10,611837
2024-10-08 18:16:37,plonky2,1,1G,,2,76511
2024-10-08 18:16:37,plonky2,1,1G,,4,38835
2024-10-08 18:16:37,plonky2,1,1G,,7,165680
2024-10-08 18:16:37,plonky2,1,1G,,13,15601
2024-10-08 18:16:37,plonky2,1,1G,,26,55956
2024-10-08 18:16:37,plonky2,1,1G,,52,160401
2024-10-08 18:16:38,halo2,1,1G,,5,16867
2024-10-08 18:16:38,halo2,1,1G,,6,22640
2024-10-08 18:16:38,halo2,1,1G,,7,32092
2024-10-08 18:16:38,halo2,1,1G,,8,50428
2024-10-08 18:16:38,halo2,1,1G,,9,82996
2024-10-08 18:16:38,halo2,1,1G,,10,140695
2024-10-08 18:16:39,scribe,2,1G,,5,74784
2024-10-08 18:16:39,scribe,2,1G,,6,79970
2024-10-08 18:16:39,scribe,2,1G,,7,82464
2024-10-08 18:16:39,scribe,2,1G,,8,89934
2024-10-08 18:16:39,scribe,2,1G,,9,112901
2024-10-08 18:16:39,scribe,2,1G,,10,133107
2024-10-08 18:16:39,hp,2,1G,,5,19524
2024-10-08 18:16:39,hp,2,1G,,6,25016
2024-10-08 18:16:39,hp,2,1G,,7,32705
2024-10-08 18:16:39,hp,2,1G,,8,41894
2024-10-08 18:16:39,hp,2,1G,,9,56686
2024-10-08 18:16:39,hp,2,1G,,10,79471
2024-10-08 18:16:40,gemini,2,1G,,5,36569
2024-10-08 18:16:40,gemini,2,1G,,6,51763
2024-10-08 18:16:40,gemini,2,1G,,7,78790
2024-10-08 18:16:40,gemini,2,1G,,8,122847
2024-10-08 18:16:40,gemini,2,1G,,9,200013
2024-10-08 18:16:40,gemini,2,1G,,10,350663
2024-10-08 18:16:41,plonky2,2,1G,,2,94856
2024-10-08 18:16:41,plonky2,2,1G,,4,7645
2024-10-08 18:16:41,plonky2,2,1G,,7,32055
2024-10-08 18:16:41,plonky2,2,1G,,13,104282
2024-10-08 18:16:41,plonky2,2,1G,,26,30611
2024-10-08 18:16:41,plonky2,2,1G,,52,121631
2024-10-08 18:16:41,halo2,2,1G,,5,17983
2024-10-08 18:16:41,halo2,2,1G,,6,13010
2024-10-08 18:16:41,halo2,2,1G,,7,19644
2024-10-08 18:16:41,halo2,2,1G,,8,29765
2024-10-08 18:16:41,halo2,2,1G,,9,48577
2024-10-08 18:16:41,halo2,2,1G,,10,83903
2024-10-08 18:16:42,scribe,4,1G,,5,75816
2024-10-08 18:16:42,scribe,4,1G,,6,91710
2024-10-08 18:16:42,scribe,4,1G,,7,92200
2024-10-08 18:16:42,scribe,4,1G,,8,91998
2024-10-08 18:16:42,scribe,4,1G,,9,111198
2024-10-08 18:16:42,scribe,4,1G,,10,111865
2024-10-08 18:16:42,hp,4,1G,,5,7731
2024-10-08 18:16:42,hp,4,1G,,6,9165
2024-10-08 18:16:42,hp,4,1G,,7,13055
2024-10-08 18:16:42,hp,4,1G,,8,17967
2024-10-08 18:16:42,hp,4,1G,,9,25286
2024-10-08 18:16:42,hp,4,1G,,10,51398
2024-10-08 18:16:43,gemini,4,1G,,5,38609
2024-10-08 18:16:43,gemini,4,1G,,6,44476
2024-10-08 18:16:43,gemini,4,1G,,7,61739
2024-10-08 18:16:43,gemini,4,1G,,8,82011
2024-10-08 18:16:43,gemini,4,1G,,9,126897
2024-10-08 18:16:43,gemini,4,1G,,10,220819
2024-10-08 18:16:43,plonky2,4,1G,,2,21248
2024-10-08 18:16:43,plonky2,4,1G,,4,19778
2024-10-08 18:16:43,plonky2,4,1G,,7,26896
2024-10-08 18:16:43,plonky2,4,1G,,13,51240
2024-10-08 18:16:43,plonky2,4,1G,,26,11490
2024-10-08 18:16:43,plonky2,4,1G,,52,33536
2024-10-08 18:16:43,halo2,4,1G,,5,11419
2024-10-08 18:16:43,halo2,4,1G,,6,11086
2024-10-08 18:16:43,halo2,4,1G,,7,15433
2024-10-08 18:16:43,halo2,4,1G,,8,22489
2024-10-08 18:16:43,halo2,4,1G,,9,35736
2024-10-08 18:16:43,halo2,4,1G,,10,61310
2024-10-08 18:16:44,scribe,8,1G,,5,82960
2024-10-08 18:16:44,scribe,8,1G,,6,85483
2024-10-08 18:16:44,scribe,8,1G,,7,92866
2024-10-08 18:16:44,scribe,8,1G,,8,93385
2024-10-08 18:16:44,scribe,8,1G,,9,100114
2024-10-08 18:16:44,scribe,8,1G,,10,118929
2024-10-08 18:16:44,hp,8,1G,,5,13091
2024-10-08 18:16:44,hp,8,1G,,6,9065
2024-10-08 18:16:44,hp,8,1G,,7,17547
2024-10-08 18:16:44,hp,8,1G,,8,20694
2024-10-08 18:16:44,hp,8,1G,,9,30720
2024-10-08 18:16:44,hp,8,1G,,10,45835
2024-10-08 18:16:45,gemini,8,1G,,5,31420
2024-10-08 18:16:45,gemini,8,1G,,6,38544
2024-10-08 18:16:45,gemini,8,1G,,7,58584
